    Coord1     Coord2      Energy(Hartree)     Energy(kcal/mol)   Relative(kcal/mol)
      2.00       4.00         -2184.857872      -1371019.014023            62.411465
      1.95       4.00         -2184.852155      -1371015.426552            65.998936
      1.90       4.00         -2184.849071      -1371013.491313            67.934176
      1.85       4.00         -2184.844560      -1371010.660617            70.764871
      1.80       4.00         -2184.891638      -1371040.202508            41.222980
      1.75       4.00         -2184.895464      -1371042.603360            38.822129
      1.70       4.00         -2184.898562      -1371044.547384            36.878104
      1.65       4.00         -2184.901454      -1371046.362141            35.063347
      1.60       4.00         -2184.902632      -1371047.101348            34.324141
      1.55       4.00         -2184.902202      -1371046.831518            34.593970
      1.50       4.00         -2184.899756      -1371045.296630            36.128858
      4.00       3.95         -2184.917316      -1371056.315697            25.109792
      4.00       3.90         -2184.917253      -1371056.276164            25.149325
      4.00       3.85         -2184.917411      -1371056.375310            25.050178
      4.00       3.80         -2184.917607      -1371056.498302            24.927186
      4.00       3.75         -2184.917644      -1371056.521520            24.903968
      4.00       3.70         -2184.917723      -1371056.571093            24.854395
      4.00       3.65         -2184.917807      -1371056.623804            24.801684
      4.00       3.60         -2184.917583      -1371056.483242            24.942247
      4.00       3.55         -2184.917734      -1371056.577996            24.847493
      4.00       3.50         -2184.917764      -1371056.596821            24.828667
      4.00       3.45         -2184.917482      -1371056.419863            25.005625
      4.00       3.40         -2184.917440      -1371056.393508            25.031980
      4.00       3.35         -2184.917731      -1371056.576113            24.849375
      4.00       3.30         -2184.917620      -1371056.506460            24.919029
      4.00       3.25         -2184.917329      -1371056.323854            25.101634
      4.00       3.20         -2184.917130      -1371056.198980            25.226508
      4.00       3.15         -2184.916507      -1371055.808041            25.617447
      4.00       3.10         -2184.916285      -1371055.668734            25.756754
      4.00       3.05         -2184.916878      -1371056.040848            25.384641
      4.00       3.00         -2184.916489      -1371055.796746            25.628742
      4.00       2.95         -2184.915929      -1371055.445341            25.980147
      4.00       2.90         -2184.915145      -1371054.953374            26.472115
      4.00       2.85         -2184.914308      -1371054.428148            26.997340
      4.00       2.80         -2184.913354      -1371053.829504            27.595984
      4.00       2.75         -2184.912088      -1371053.035077            28.390411
      4.00       2.70         -2184.910716      -1371052.174134            29.251354
      4.00       2.65         -2184.909350      -1371051.316956            30.108532
      4.00       2.60         -2184.907454      -1371050.127198            31.298290
      4.00       2.55         -2184.905563      -1371048.940578            32.484910
      4.00       2.50         -2184.903671      -1371047.753330            33.672158
      4.00       2.45         -2184.901130      -1371046.158828            35.266660
      4.00       2.40         -2184.898217      -1371044.330893            37.094595
      4.00       2.35         -2184.895216      -1371042.447737            38.977751
      4.00       2.30         -2184.891621      -1371040.191841            41.233648
      4.00       2.25         -2184.888742      -1371038.385241            43.040247
      4.00       2.20         -2184.884904      -1371035.976860            45.448629
      4.00       2.15         -2184.880683      -1371033.328142            48.097346
      4.00       2.10         -2184.876433      -1371030.661227            50.764261
      4.00       2.05         -2184.871940      -1371027.841827            53.583661
      4.00       2.00         -2184.867389      -1371024.986031            56.439457
      4.00       1.95         -2184.863322      -1371022.433950            58.991538
      4.00       1.90         -2184.859833      -1371020.244570            61.180919
      4.00       1.85         -2184.856237      -1371017.988045            63.437443
      4.00       1.80         -2184.853087      -1371016.011391            65.414098
      4.00       1.75         -2184.850707      -1371014.517918            66.907570
      4.00       1.70         -2184.848417      -1371013.080921            68.344567
      4.00       1.65         -2184.848422      -1371013.084059            68.341429
      4.00       1.60         -2184.847015      -1371012.201153            69.224335
      4.00       1.55         -2184.844306      -1371010.501230            70.924258
      4.00       1.50         -2184.848657      -1371013.231524            68.193965
      3.95       3.95         -2184.917329      -1371056.323854            25.101634
      3.95       3.90         -2184.917609      -1371056.499557            24.925931
      3.95       3.85         -2184.917778      -1371056.605606            24.819882
      3.95       3.80         -2184.917865      -1371056.660199            24.765289
      3.95       3.75         -2184.918001      -1371056.745541            24.679948
      3.95       3.70         -2184.917957      -1371056.717930            24.707558
      3.95       3.65         -2184.918033      -1371056.765621            24.659867
      3.95       3.60         -2184.918165      -1371056.848452            24.577036
      3.95       3.55         -2184.917967      -1371056.724205            24.701283
      3.95       3.50         -2184.918100      -1371056.807664            24.617824
      3.95       3.45         -2184.918103      -1371056.809547            24.615942
      3.95       3.40         -2184.918113      -1371056.815822            24.609667
      3.95       3.35         -2184.917831      -1371056.638864            24.786624
      3.95       3.30         -2184.917898      -1371056.680907            24.744581
      3.95       3.25         -2184.917476      -1371056.416098            25.009390
      3.95       3.20         -2184.917364      -1371056.345817            25.079671
      3.95       3.15         -2184.917209      -1371056.248553            25.176935
      3.95       3.10         -2184.916657      -1371055.902168            25.523320
      3.95       3.05         -2184.916625      -1371055.882088            25.543401
      3.95       3.00         -2184.916077      -1371055.538212            25.887276
      3.95       2.95         -2184.915459      -1371055.150412            26.275077
      3.95       2.90         -2184.915135      -1371054.947098            26.478390
      3.95       2.85         -2184.914206      -1371054.364142            27.061346
      3.95       2.80         -2184.913278      -1371053.781813            27.643675
      3.95       2.75         -2184.912437      -1371053.254078            28.171410
      3.95       2.70         -2184.911025      -1371052.368035            29.057454
      3.95       2.65         -2184.909697      -1371051.534702            29.890786
      3.95       2.60         -2184.907849      -1371050.375064            31.050424
      3.95       2.55         -2184.905868      -1371049.131968            32.293520
      3.95       2.50         -2184.904448      -1371048.240905            33.184584
      3.95       2.45         -2184.902114      -1371046.776298            34.649191
      3.95       2.40         -2184.899219      -1371044.959658            36.465831
      3.95       2.35         -2184.896262      -1371043.104112            38.321376
      3.95       2.30         -2184.892763      -1371040.908457            40.517032
      3.95       2.25         -2184.889947      -1371039.141390            42.284098
      3.95       2.20         -2184.886105      -1371036.730498            44.694990
      3.95       2.15         -2184.882084      -1371034.207283            47.218205
      3.95       2.10         -2184.877736      -1371031.478872            49.946617
      3.95       2.05         -2184.873345      -1371028.723478            52.702011
      3.95       2.00         -2184.869111      -1371026.066602            55.358886
      3.95       1.95         -2184.864894      -1371023.420395            58.005093
      3.95       1.90         -2184.860937      -1371020.937340            60.488148
      3.95       1.85         -2184.857694      -1371018.902327            62.523161
      3.95       1.80         -2184.854598      -1371016.959557            64.465931
      3.95       1.75         -2184.853326      -1371016.161365            65.264123
      3.95       1.70         -2184.851611      -1371015.085187            66.340302
      3.95       1.65         -2184.850121      -1371014.150198            67.275291
      3.95       1.60         -2184.848004      -1371012.821760            68.603728
      3.95       1.55         -2184.852944      -1371015.921657            65.503831
      3.95       1.50         -2184.850110      -1371014.143295            67.282193
      3.90       3.95         -2184.917779      -1371056.606234            24.819255
      3.90       3.90         -2184.917921      -1371056.695340            24.730148
      3.90       3.85         -2184.918094      -1371056.803899            24.621589
      3.90       3.80         -2184.918132      -1371056.827744            24.597744
      3.90       3.75         -2184.918254      -1371056.904301            24.521188
      3.90       3.70         -2184.918299      -1371056.932538            24.492950
      3.90       3.65         -2184.918406      -1371056.999682            24.425806
      3.90       3.60         -2184.918543      -1371057.085651            24.339837
      3.90       3.55         -2184.918400      -1371056.995917            24.429571
      3.90       3.50         -2184.918393      -1371056.991524            24.433964
      3.90       3.45         -2184.918465      -1371057.036705            24.388783
      3.90       3.40         -2184.918355      -1371056.967679            24.457809
      3.90       3.35         -2184.918400      -1371056.995917            24.429571
      3.90       3.30         -2184.918280      -1371056.920616            24.504872
      3.90       3.25         -2184.918183      -1371056.859747            24.565741
      3.90       3.20         -2184.917787      -1371056.611254            24.814235
      3.90       3.15         -2184.917629      -1371056.512107            24.913381
      3.90       3.10         -2184.917490      -1371056.424883            25.000605
      3.90       3.05         -2184.916903      -1371056.056535            25.368953
      3.90       3.00         -2184.916487      -1371055.795491            25.629997
      3.90       2.95         -2184.916079      -1371055.539467            25.886021
      3.90       2.90         -2184.915245      -1371055.016125            26.409364
      3.90       2.85         -2184.914321      -1371054.436306            26.989182
      3.90       2.80         -2184.914437      -1371054.509097            26.916391
      3.90       2.75         -2184.913446      -1371053.887235            27.538253
      3.90       2.70         -2184.912207      -1371053.109751            28.315738
      3.90       2.65         -2184.910668      -1371052.144014            29.281475
      3.90       2.60         -2184.908938      -1371051.058422            30.367066
      3.90       2.55         -2184.906989      -1371049.835406            31.590082
      3.90       2.50         -2184.904834      -1371048.483123            32.942365
      3.90       2.45         -2184.902354      -1371046.926900            34.498588
      3.90       2.40         -2184.899722      -1371045.275295            36.150193
      3.90       2.35         -2184.896602      -1371043.317465            38.108023
      3.90       2.30         -2184.893168      -1371041.162598            40.262890
      3.90       2.25         -2184.889659      -1371038.960667            42.464821
      3.90       2.20         -2184.885648      -1371036.443727            44.981762
      3.90       2.15         -2184.882061      -1371034.192850            47.232638
      3.90       2.10         -2184.877864      -1371031.559193            49.866295
      3.90       2.05         -2184.874025      -1371029.150184            52.275304
      3.90       2.00         -2184.869964      -1371026.601868            54.823620
      3.90       1.95         -2184.865811      -1371023.995821            57.429667
      3.90       1.90         -2184.862021      -1371021.617560            59.807928
      3.90       1.85         -2184.858385      -1371019.335936            62.089552
      3.90       1.80         -2184.855473      -1371017.508628            63.916860
      3.90       1.75         -2184.854332      -1371016.792640            64.632848
      3.90       1.70         -2184.852607      -1371015.710186            65.715302
      3.90       1.65         -2184.851272      -1371014.872461            66.553027
      3.90       1.60         -2184.849390      -1371013.691488            67.734000
      3.90       1.55         -2184.849053      -1371013.480017            67.945471
      3.90       1.50         -2184.852416      -1371015.590332            65.835156
      3.85       3.95         -2184.917876      -1371056.667102            24.758386
      3.85       3.90         -2184.918101      -1371056.808292            24.617197
      3.85       3.85         -2184.918262      -1371056.909321            24.516168
      3.85       3.80         -2184.918291      -1371056.927518            24.497970
      3.85       3.75         -2184.918470      -1371057.039843            24.385646
      3.85       3.70         -2184.918526      -1371057.074983            24.350505
      3.85       3.65         -2184.918669      -1371057.164717            24.260771
      3.85       3.60         -2184.918752      -1371057.216800            24.208688
      3.85       3.55         -2184.918643      -1371057.148402            24.277087
      3.85       3.50         -2184.918684      -1371057.174130            24.251359
      3.85       3.45         -2184.918744      -1371057.211780            24.213708
      3.85       3.40         -2184.918670      -1371057.165344            24.260144
      3.85       3.35         -2184.918663      -1371057.160952            24.264536
      3.85       3.30         -2184.918557      -1371057.094436            24.331052
      3.85       3.25         -2184.918427      -1371057.012860            24.412629
      3.85       3.20         -2184.918156      -1371056.842805            24.582684
      3.85       3.15         -2184.918316      -1371056.943206            24.482282
      3.85       3.10         -2184.918041      -1371056.770641            24.654847
      3.85       3.05         -2184.917598      -1371056.492654            24.932834
      3.85       3.00         -2184.917094      -1371056.176390            25.249099
      3.85       2.95         -2184.916850      -1371056.023277            25.402211
      3.85       2.90         -2184.916106      -1371055.556410            25.869078
      3.85       2.85         -2184.915324      -1371055.065698            26.359790
      3.85       2.80         -2184.914409      -1371054.491527            26.933962
      3.85       2.75         -2184.913084      -1371053.660077            27.765412
      3.85       2.70         -2184.911753      -1371052.824861            28.600627
      3.85       2.65         -2184.910957      -1371052.325364            29.100124
      3.85       2.60         -2184.909367      -1371051.327624            30.097864
      3.85       2.55         -2184.907225      -1371049.983499            31.441990
      3.85       2.50         -2184.905185      -1371048.703379            32.722109
      3.85       2.45         -2184.902532      -1371047.038597            34.386892
      3.85       2.40         -2184.899975      -1371045.434055            35.991433
      3.85       2.35         -2184.896799      -1371043.441085            37.984403
      3.85       2.30         -2184.893724      -1371041.511493            39.913995
      3.85       2.25         -2184.890048      -1371039.204768            42.220720
      3.85       2.20         -2184.886861      -1371037.204896            44.220593
      3.85       2.15         -2184.882928      -1371034.736901            46.688587
      3.85       2.10         -2184.878838      -1371032.170387            49.255101
      3.85       2.05         -2184.874545      -1371029.476489            51.948999
      3.85       2.00         -2184.870696      -1371027.061205            54.364283
      3.85       1.95         -2184.866732      -1371024.573757            56.851731
      3.85       1.90         -2184.863469      -1371022.526194            58.899294
      3.85       1.85         -2184.860186      -1371020.466080            60.959408
      3.85       1.80         -2184.857823      -1371018.983276            62.442213
      3.85       1.75         -2184.855677      -1371017.636640            63.788848
      3.85       1.70         -2184.855232      -1371017.357398            64.068090
      3.85       1.65         -2184.854075      -1371016.631370            64.794118
      3.85       1.60         -2184.852230      -1371015.473615            65.951873
      3.85       1.55         -2184.849907      -1371014.015911            67.409578
      3.85       1.50         -2184.845831      -1371011.458182            69.967306
      3.80       3.95         -2184.918090      -1371056.801389            24.624099
      3.80       3.90         -2184.918304      -1371056.935676            24.489812
      3.80       3.85         -2184.918456      -1371057.031057            24.394431
      3.80       3.80         -2184.918604      -1371057.123929            24.301559
      3.80       3.75         -2184.918671      -1371057.165972            24.259516
      3.80       3.70         -2184.918805      -1371057.250058            24.175430
      3.80       3.65         -2184.918650      -1371057.152794            24.272694
      3.80       3.60         -2184.918785      -1371057.237508            24.187980
      3.80       3.55         -2184.918928      -1371057.327242            24.098246
      3.80       3.50         -2184.918888      -1371057.302142            24.123347
      3.80       3.45         -2184.919223      -1371057.512357            23.913131
      3.80       3.40         -2184.919169      -1371057.478472            23.947017
      3.80       3.35         -2184.919118      -1371057.446469            23.979020
      3.80       3.30         -2184.919347      -1371057.590168            23.835320
      3.80       3.25         -2184.919248      -1371057.528045            23.897443
      3.80       3.20         -2184.919067      -1371057.414466            24.011023
      3.80       3.15         -2184.918790      -1371057.240646            24.184843
      3.80       3.10         -2184.918414      -1371057.004702            24.420786
      3.80       3.05         -2184.918022      -1371056.758718            24.666770
      3.80       3.00         -2184.917701      -1371056.557288            24.868200
      3.80       2.95         -2184.917082      -1371056.168859            25.256629
      3.80       2.90         -2184.916371      -1371055.722700            25.702788
      3.80       2.85         -2184.915590      -1371055.232615            26.192873
      3.80       2.80         -2184.914416      -1371054.495919            26.929569
      3.80       2.75         -2184.913479      -1371053.907943            27.517545
      3.80       2.70         -2184.912457      -1371053.266628            28.158860
      3.80       2.65         -2184.910893      -1371052.285203            29.140285
      3.80       2.60         -2184.909304      -1371051.288091            30.137398
      3.80       2.55         -2184.907719      -1371050.293488            31.132000
      3.80       2.50         -2184.905451      -1371048.870297            32.555192
      3.80       2.45         -2184.903263      -1371047.497306            33.928182
      3.80       2.40         -2184.900466      -1371045.742162            35.683326
      3.80       2.35         -2184.897602      -1371043.944975            37.480513
      3.80       2.30         -2184.894200      -1371041.810188            39.615301
      3.80       2.25         -2184.890963      -1371039.778939            41.646549
      3.80       2.20         -2184.887142      -1371037.381226            44.044262
      3.80       2.15         -2184.883064      -1371034.822242            46.603246
      3.80       2.10         -2184.879181      -1371032.385623            49.039865
      3.80       2.05         -2184.876027      -1371030.406458            51.019030
      3.80       2.00         -2184.872131      -1371027.961681            53.463807
      3.80       1.95         -2184.868294      -1371025.553927            55.871561
      3.80       1.90         -2184.864657      -1371023.271675            58.153813
      3.80       1.85         -2184.861687      -1371021.407972            60.017516
      3.80       1.80         -2184.858935      -1371019.681066            61.744422
      3.80       1.75         -2184.860151      -1371020.444118            60.981371
      3.80       1.70         -2184.859170      -1371019.828531            61.596957
      3.80       1.65         -2184.858400      -1371019.345348            62.080140
      3.80       1.60         -2184.857566      -1371018.822006            62.603483
      3.80       1.55         -2184.855363      -1371017.439602            63.985886
      3.80       1.50         -2184.851552      -1371015.048164            66.377325
      3.75       3.95         -2184.918113      -1371056.815822            24.609667
      3.75       3.90         -2184.918348      -1371056.963286            24.462202
      3.75       3.85         -2184.918536      -1371057.081258            24.344230
      3.75       3.80         -2184.918667      -1371057.163462            24.262026
      3.75       3.75         -2184.918795      -1371057.243783            24.181705
      3.75       3.70         -2184.918968      -1371057.352342            24.073146
      3.75       3.65         -2184.918883      -1371057.299004            24.126484
      3.75       3.60         -2184.919115      -1371057.444586            23.980902
      3.75       3.55         -2184.919213      -1371057.506082            23.919406
      3.75       3.50         -2184.919028      -1371057.389993            24.035495
      3.75       3.45         -2184.919247      -1371057.527417            23.898071
      3.75       3.40         -2184.919103      -1371057.437056            23.988432
      3.75       3.35         -2184.919156      -1371057.470314            23.955174
      3.75       3.30         -2184.919121      -1371057.448351            23.977137
      3.75       3.25         -2184.918739      -1371057.208643            24.216846
      3.75       3.20         -2184.918686      -1371057.175385            24.250104
      3.75       3.15         -2184.918541      -1371057.084396            24.341092
      3.75       3.10         -2184.918217      -1371056.881083            24.544406
      3.75       3.05         -2184.918774      -1371057.230605            24.194883
      3.75       3.00         -2184.918253      -1371056.903673            24.521815
      3.75       2.95         -2184.917824      -1371056.634471            24.791017
      3.75       2.90         -2184.917215      -1371056.252318            25.173170
      3.75       2.85         -2184.916458      -1371055.777294            25.648195
      3.75       2.80         -2184.915431      -1371055.132841            26.292647
      3.75       2.75         -2184.914404      -1371054.488389            26.937099
      3.75       2.70         -2184.912930      -1371053.563440            27.862048
      3.75       2.65         -2184.911613      -1371052.737010            28.688478
      3.75       2.60         -2184.910031      -1371051.744290            29.681198
      3.75       2.55         -2184.907948      -1371050.437188            30.988300
      3.75       2.50         -2184.906311      -1371049.409955            32.015533
      3.75       2.45         -2184.903888      -1371047.889499            33.535989
      3.75       2.40         -2184.901242      -1371046.229109            35.196379
      3.75       2.35         -2184.898100      -1371044.257475            37.168014
      3.75       2.30         -2184.895198      -1371042.436442            38.989046
      3.75       2.25         -2184.891662      -1371040.217569            41.207920
      3.75       2.20         -2184.888403      -1371038.172515            43.252973
      3.75       2.15         -2184.884575      -1371035.770409            45.655079
      3.75       2.10         -2184.880587      -1371033.267901            48.157587
      3.75       2.05         -2184.876488      -1371030.695740            50.729748
      3.75       2.00         -2184.873345      -1371028.723478            52.702011
      3.75       1.95         -2184.869692      -1371026.431185            54.994303
      3.75       1.90         -2184.866237      -1371024.263140            57.162348
      3.75       1.85         -2184.863324      -1371022.435205            58.990283
      3.75       1.80         -2184.860641      -1371020.751597            60.673891
      3.75       1.75         -2184.858907      -1371019.663496            61.761992
      3.75       1.70         -2184.857252      -1371018.624968            62.800521
      3.75       1.65         -2184.856503      -1371018.154963            63.270525
      3.75       1.60         -2184.854877      -1371017.134633            64.290856
      3.75       1.55         -2184.852591      -1371015.700146            65.725342
      3.75       1.50         -2184.856409      -1371018.095977            63.329511
      3.70       3.95         -2184.918219      -1371056.882338            24.543151
      3.70       3.90         -2184.918457      -1371057.031685            24.393803
      3.70       3.85         -2184.918667      -1371057.163462            24.262026
      3.70       3.80         -2184.918646      -1371057.150284            24.275204
      3.70       3.75         -2184.918897      -1371057.307789            24.117699
      3.70       3.70         -2184.919098      -1371057.433919            23.991570
      3.70       3.65         -2184.919167      -1371057.477217            23.948272
      3.70       3.60         -2184.919297      -1371057.558793            23.866695
      3.70       3.55         -2184.919126      -1371057.451489            23.973999
      3.70       3.50         -2184.919189      -1371057.491022            23.934466
      3.70       3.45         -2184.919381      -1371057.611504            23.813985
      3.70       3.40         -2184.919140      -1371057.460274            23.965214
      3.70       3.35         -2184.919312      -1371057.568206            23.857283
      3.70       3.30         -2184.919429      -1371057.641624            23.783864
      3.70       3.25         -2184.919130      -1371057.453999            23.971489
      3.70       3.20         -2184.919147      -1371057.464666            23.960822
      3.70       3.15         -2184.918998      -1371057.371168            24.054321
      3.70       3.10         -2184.918459      -1371057.032940            24.392548
      3.70       3.05         -2184.918215      -1371056.879828            24.545661
      3.70       3.00         -2184.917971      -1371056.726715            24.698773
      3.70       2.95         -2184.917264      -1371056.283066            25.142422
      3.70       2.90         -2184.917473      -1371056.414216            25.011273
      3.70       2.85         -2184.916754      -1371055.963036            25.462452
      3.70       2.80         -2184.915838      -1371055.388238            26.037251
      3.70       2.75         -2184.914791      -1371054.731235            26.694253
      3.70       2.70         -2184.913435      -1371053.880332            27.545156
      3.70       2.65         -2184.912060      -1371053.017507            28.407981
      3.70       2.60         -2184.910632      -1371052.121423            29.304065
      3.70       2.55         -2184.908684      -1371050.899035            30.526453
      3.70       2.50         -2184.906630      -1371049.610130            31.815358
      3.70       2.45         -2184.904093      -1371048.018139            33.407349
      3.70       2.40         -2184.901548      -1371046.421127            35.004361
      3.70       2.35         -2184.898855      -1371044.731244            36.694244
      3.70       2.30         -2184.895621      -1371042.701879            38.723610
      3.70       2.25         -2184.892335      -1371040.639882            40.785606
      3.70       2.20         -2184.888564      -1371038.273544            43.151944
      3.70       2.15         -2184.885912      -1371036.609389            44.816099
      3.70       2.10         -2184.882067      -1371034.196615            47.228873
      3.70       2.05         -2184.878214      -1371031.778821            49.646667
      3.70       2.00         -2184.874571      -1371029.492804            51.932684
      3.70       1.95         -2184.870912      -1371027.196747            54.228741
      3.70       1.90         -2184.867584      -1371025.108395            56.317093
      3.70       1.85         -2184.864886      -1371023.415375            58.010113
      3.70       1.80         -2184.862373      -1371021.838444            59.587045
      3.70       1.75         -2184.860796      -1371020.848861            60.576627
      3.70       1.70         -2184.859218      -1371019.858651            61.566837
      3.70       1.65         -2184.858808      -1371019.601372            61.824116
      3.70       1.60         -2184.857145      -1371018.557824            62.867664
      3.70       1.55         -2184.854513      -1371016.906219            64.519269
      3.70       1.50         -2184.857672      -1371018.888522            62.536967
      3.65       3.95         -2184.918323      -1371056.947599            24.477890
      3.65       3.90         -2184.918544      -1371057.086278            24.339210
      3.65       3.85         -2184.918662      -1371057.160324            24.265164
      3.65       3.80         -2184.918848      -1371057.277041            24.148447
      3.65       3.75         -2184.919057      -1371057.408191            24.017298
      3.65       3.70         -2184.919172      -1371057.480354            23.945134
      3.65       3.65         -2184.919328      -1371057.578246            23.847243
      3.65       3.60         -2184.919435      -1371057.645389            23.780099
      3.65       3.55         -2184.919592      -1371057.743908            23.681580
      3.65       3.50         -2184.919654      -1371057.782814            23.642674
      3.65       3.45         -2184.919744      -1371057.839290            23.586199
      3.65       3.40         -2184.919781      -1371057.862508            23.562981
      3.65       3.35         -2184.919530      -1371057.705003            23.720486
      3.65       3.30         -2184.919708      -1371057.816699            23.608789
      3.65       3.25         -2184.919650      -1371057.780304            23.645184
      3.65       3.20         -2184.919365      -1371057.601464            23.824025
      3.65       3.15         -2184.919151      -1371057.467177            23.958312
      3.65       3.10         -2184.919074      -1371057.418858            24.006630
      3.65       3.05         -2184.918589      -1371057.114516            24.310972
      3.65       3.00         -2184.918253      -1371056.903673            24.521815
      3.65       2.95         -2184.917928      -1371056.699732            24.725756
      3.65       2.90         -2184.917163      -1371056.219688            25.205801
      3.65       2.85         -2184.916545      -1371055.831887            25.593601
      3.65       2.80         -2184.916417      -1371055.751566            25.673923
      3.65       2.75         -2184.915492      -1371055.171119            26.254369
      3.65       2.70         -2184.914265      -1371054.401165            27.024323
      3.65       2.65         -2184.912847      -1371053.511357            27.914131
      3.65       2.60         -2184.911198      -1371052.476594            28.948895
      3.65       2.55         -2184.909353      -1371051.318839            30.106650
      3.65       2.50         -2184.907224      -1371049.982871            31.442617
      3.65       2.45         -2184.905003      -1371048.589172            32.836316
      3.65       2.40         -2184.902254      -1371046.864149            34.561339
      3.65       2.35         -2184.899581      -1371045.186816            36.238672
      3.65       2.30         -2184.896367      -1371043.170001            38.255488
      3.65       2.25         -2184.893183      -1371041.172011            40.253478
      3.65       2.20         -2184.889531      -1371038.880346            42.545142
      3.65       2.15         -2184.886072      -1371036.709791            44.715698
      3.65       2.10         -2184.882242      -1371034.306429            47.119059
      3.65       2.05         -2184.878853      -1371032.179800            49.245689
      3.65       2.00         -2184.875239      -1371029.911981            51.513508
      3.65       1.95         -2184.871727      -1371027.708167            53.717321
      3.65       1.90         -2184.868317      -1371025.568360            55.857128
      3.65       1.85         -2184.866527      -1371024.445118            56.980370
      3.65       1.80         -2184.864352      -1371023.080285            58.345203
      3.65       1.75         -2184.862736      -1371022.066230            59.359259
      3.65       1.70         -2184.861445      -1371021.256115            60.169373
      3.65       1.65         -2184.859947      -1371020.316106            61.109383
      3.65       1.60         -2184.859930      -1371020.305438            61.120050
      3.65       1.55         -2184.858102      -1371019.158351            62.267138
      3.65       1.50         -2184.854236      -1371016.732399            64.693089
      3.60       3.95         -2184.918241      -1371056.896143            24.529345
      3.60       3.90         -2184.918496      -1371057.056158            24.369330
      3.60       3.85         -2184.918737      -1371057.207388            24.218101
      3.60       3.80         -2184.918949      -1371057.340420            24.085069
      3.60       3.75         -2184.919070      -1371057.416348            24.009140
      3.60       3.70         -2184.919266      -1371057.539340            23.886148
      3.60       3.65         -2184.919174      -1371057.481609            23.943879
      3.60       3.60         -2184.919558      -1371057.722573            23.702915
      3.60       3.55         -2184.919571      -1371057.730731            23.694758
      3.60       3.50         -2184.919671      -1371057.793481            23.632007
      3.60       3.45         -2184.919857      -1371057.910198            23.515290
      3.60       3.40         -2184.919714      -1371057.820464            23.605024
      3.60       3.35         -2184.919824      -1371057.889490            23.535998
      3.60       3.30         -2184.919850      -1371057.905806            23.519683
      3.60       3.25         -2184.919565      -1371057.726965            23.698523
      3.60       3.20         -2184.919341      -1371057.586403            23.839085
      3.60       3.15         -2184.919349      -1371057.591423            23.834065
      3.60       3.10         -2184.918862      -1371057.285826            24.139662
      3.60       3.05         -2184.918765      -1371057.224958            24.200530
      3.60       3.00         -2184.918114      -1371056.816449            24.609039
      3.60       2.95         -2184.917797      -1371056.617529            24.807960
      3.60       2.90         -2184.917969      -1371056.725460            24.700028
      3.60       2.85         -2184.917372      -1371056.350837            25.074651
      3.60       2.80         -2184.916491      -1371055.798001            25.627487
      3.60       2.75         -2184.915518      -1371055.187435            26.238054
      3.60       2.70         -2184.914145      -1371054.325864            27.099624
      3.60       2.65         -2184.912843      -1371053.508847            27.916641
      3.60       2.60         -2184.911519      -1371052.678024            28.747464
